,S&P500,AMZN,BLK,MA,ORCL,TMUS
1/4/2010,1132.98999,133.899994,177.781036,21.657814,21.604193,12.961443
1/5/2010,1136.52002,134.690002,178.548508,21.593733,21.578108,12.993969
1/6/2010,1137.140015,132.25,174.867416,21.676853,21.265123,12.115778
1/7/2010,1141.689941,130,176.789917,21.535206,21.195576,12.229618
1/8/2010,1144.97998,133.520004,178.034332,21.542839,21.456398,11.54658
1/11/2010,1146.97998,130.309998,180.932999,21.188282,21.465088,11.692945
1/12/2010,1136.219971,127.349998,177.69902,21.176414,21.352068,10.326871
1/13/2010,1145.680054,129.110001,178.406937,21.7269,21.560722,10.294346
1/14/2010,1148.459961,127.349998,177.274277,22.094179,22.074697,10.131718
1/15/2010,1136.030029,127.139999,177.415787,22.278238,21.987589,10.278083
1/19/2010,1150.22998,127.610001,178.846542,22.456366,22.065977,10.408185
1/20/2010,1138.040039,125.779999,177.542526,22.341002,21.830778,10.147981
1/21/2010,1116.47998,126.620003,171.56636,21.927073,21.630415,9.74141
1/22/2010,1091.76001,121.43,167.661697,21.358776,21.038036,9.562521
1/25/2010,1096.780029,120.309998,168.749527,21.413061,20.933504,9.529995
1/26/2010,1092.170044,119.480003,167.445618,21.087349,20.802826,9.351105
1/27/2010,1097.5,122.75,168.980606,21.742168,20.785408,9.253528
1/28/2010,1084.530029,126.029999,163.667587,21.158598,20.44566,8.993323
1/29/2010,1073.869995,125.410004,159.330765,21.196768,20.088493,9.155951
2/1/2010,1089.189941,118.870003,161.379974,21.495337,20.227882,9.643834
2/2/2010,1103.319946,118.120003,160.9552,21.422396,20.698298,9.611309
2/3/2010,1097.280029,119.099998,164.41275,20.999983,20.689577,9.887776
2/4/2010,1063.109985,115.940002,157.415695,18.839596,20.132048,9.448681
2/5/2010,1066.189941,117.389999,155.582565,18.723387,20.51535,9.562521
2/8/2010,1056.73999,116.830002,152.50499,19.203476,20.140762,9.546258
2/9/2010,1070.52002,118.029999,155.649597,18.953251,20.480509,9.773937
2/10/2010,1068.130005,117.360001,157.326233,19.245886,20.132048,9.399893
2/11/2010,1078.469971,120.089996,154.47226,19.424013,20.341124,9.660097
2/12/2010,1075.51001,119.660004,154.367935,19.125435,20.393394,9.692623
2/16/2010,1094.869995,117.529999,156.789703,19.110178,20.741846,10.08293
2/17/2010,1099.51001,116.309998,158.786758,19.070311,21.064175,10.099193
2/18/2010,1106.75,118.080002,159.263687,18.830267,21.360359,10.196769
2/19/2010,1109.170044,117.519997,160.590073,18.883701,21.186134,10.26182
2/22/2010,1108.01001,118.010002,161.87175,19.02026,21.612986,10.147981
2/23/2010,1094.599976,117.239998,160.113159,18.831955,21.325514,10.017879
2/24/2010,1105.23999,119.720001,162.713745,18.809059,21.578148,10.147981
2/25/2010,1102.939941,118.199997,162.669128,18.787003,21.665262,10.538287
2/26/2010,1104.48999,118.400002,163.041656,19.031284,21.473614,10.034142
3/1/2010,1115.709961,124.540001,162.445526,19.741241,21.552013,9.822725
3/2/2010,1118.310059,125.529999,161.260681,19.662352,21.412624,10.131718
3/3/2010,1118.790039,125.889999,161.014771,19.691191,21.342943,10.294346
3/4/2010,1122.969971,128.529999,161.583725,19.763298,21.569433,10.359397
3/5/2010,1138.699951,128.910004,164.570816,20.318026,21.734949,10.37566
3/8/2010,1138.5,130.110001,163.290634,20.832888,21.517162,10.652128
3/9/2010,1140.449951,128.820007,162.429718,20.906681,21.673973,10.733441
3/10/2010,1145.609985,130.509995,161.478943,21.171318,21.665262,10.749704
3/11/2010,1150.23999,133.580002,157.518692,21.221359,21.900467,10.944858
3/12/2010,1149.98999,131.820007,157.211884,21.202702,21.822062,10.879807
3/15/2010,1150.51001,131.130005,158.836319,21.212032,22.022429,10.78223
3/16/2010,1159.459961,131.789993,158.971054,21.149267,21.961443,11.140011
3/17/2010,1166.209961,131.339996,166.794266,21.090744,22.187944,11.237588
3/18/2010,1165.829956,132.759995,168.935318,20.891411,22.109539,11.286376
3/19/2010,1159.900024,130.350006,167.95462,20.726862,21.944025,11.465267
3/22/2010,1165.810059,130.470001,168.96524,20.957573,22.266342,11.481529
3/23/2010,1174.170044,129.259995,169.938446,20.83119,22.640932,11.709208
3/24/2010,1167.719971,128.039993,168.441254,20.754004,22.440577,11.497792
3/25/2010,1165.72998,134.729996,168.748154,20.873596,22.684496,11.286376
3/26/2010,1166.589966,135.059998,164.151596,20.886324,22.379593,11.270113
3/29/2010,1173.219971,135.119995,164.735489,21.036451,22.275053,11.351427
3/30/2010,1173.27002,136.580002,164.046738,21.409666,22.248922,11.530318
3/31/2010,1169.430054,135.770004,163.021133,21.544535,22.397018,11.514055
4/1/2010,1178.099976,131.809998,157.997818,21.539442,22.17923,11.725471
4/5/2010,1187.439941,131.490005,154.217285,21.678553,22.28377,11.839311
4/6/2010,1189.439941,135.559998,148.639984,21.947433,22.501549,11.904362
4/7/2010,1182.449951,134.869995,148.991852,21.811781,22.571249,11.644157
4/8/2010,1186.439941,140.960007,153.139236,21.915873,22.501549,12.034464
4/9/2010,1194.369995,140.059998,154.299606,22.086498,22.762894,11.95315
4/12/2010,1196.47998,141.199997,154.067505,22.145361,22.867632,12.229618
4/13/2010,1197.300049,140.160004,154.891037,22.054079,22.998558,12.262144
4/14/2010,1210.650024,144.279999,158.244919,22.449095,23.02474,12.294669
